,category,scientific_name,common_names,conservation_status,park_name,observations
0,Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,Not in Danger,Bryce National Park,130
1,Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,Not in Danger,Yellowstone National Park,270
2,Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,Not in Danger,Great Smoky Mountains National Park,98
3,Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,Not in Danger,Yosemite National Park,117
4,Mammal,Bos bison,"American Bison, Bison",Not in Danger,Yosemite National Park,128
5,Mammal,Bos bison,"American Bison, Bison",Not in Danger,Yellowstone National Park,269
6,Mammal,Bos bison,"American Bison, Bison",Not in Danger,Bryce National Park,68
7,Mammal,Bos bison,"American Bison, Bison",Not in Danger,Great Smoky Mountains National Park,77
8,Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",Not in Danger,Bryce National Park,99
9,Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",Not in Danger,Yosemite National Park,124
10,Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",Not in Danger,Yellowstone National Park,235
11,Mammal,Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",Not in Danger,Great Smoky Mountains National Park,56
12,Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",Not in Danger,Yosemite National Park,126
13,Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",Not in Danger,Great Smoky Mountains National Park,76
14,Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",Not in Danger,Bryce National Park,119
15,Mammal,Ovis aries,"Domestic Sheep, Mouflon, Red Sheep, Sheep (Feral)",Not in Danger,Yellowstone National Park,221
16,Mammal,Cervus elaphus,Wapiti Or Elk,Not in Danger,Yellowstone National Park,225
17,Mammal,Cervus elaphus,Wapiti Or Elk,Not in Danger,Yellowstone National Park,270
18,Mammal,Cervus elaphus,Wapiti Or Elk,Not in Danger,Great Smoky Mountains National Park,60
19,Mammal,Cervus elaphus,Wapiti Or Elk,Not in Danger,Yosemite National Park,203
20,Mammal,Cervus elaphus,Wapiti Or Elk,Not in Danger,Great Smoky Mountains National Park,101
21,Mammal,Cervus elaphus,Wapiti Or Elk,Not in Danger,Bryce National Park,96
22,Mammal,Cervus elaphus,Wapiti Or Elk,Not in Danger,Bryce National Park,87
23,Mammal,Cervus elaphus,Wapiti Or Elk,Not in Danger,Yosemite National Park,176
24,Mammal,Odocoileus virginianus,White-Tailed Deer,Not in Danger,Great Smoky Mountains National Park,36
25,Mammal,Odocoileus virginianus,White-Tailed Deer,Not in Danger,Yellowstone National Park,224
26,Mammal,Odocoileus virginianus,White-Tailed Deer,Not in Danger,Yellowstone National Park,260
27,Mammal,Odocoileus virginianus,White-Tailed Deer,Not in Danger,Yosemite National Park,135
28,Mammal,Odocoileus virginianus,White-Tailed Deer,Not in Danger,Bryce National Park,77
29,Mammal,Odocoileus virginianus,White-Tailed Deer,Not in Danger,Yosemite National Park,150
30,Mammal,Odocoileus virginianus,White-Tailed Deer,Not in Danger,Great Smoky Mountains National Park,73
31,Mammal,Odocoileus virginianus,White-Tailed Deer,Not in Danger,Bryce National Park,106
32,Mammal,Sus scrofa,"Feral Hog, Wild Pig",Not in Danger,Great Smoky Mountains National Park,99
33,Mammal,Sus scrofa,"Feral Hog, Wild Pig",Not in Danger,Yosemite National Park,147
34,Mammal,Sus scrofa,"Feral Hog, Wild Pig",Not in Danger,Yosemite National Park,125
35,Mammal,Sus scrofa,"Feral Hog, Wild Pig",Not in Danger,Bryce National Park,113
36,Mammal,Sus scrofa,"Feral Hog, Wild Pig",Not in Danger,Yellowstone National Park,212
37,Mammal,Sus scrofa,"Feral Hog, Wild Pig",Not in Danger,Great Smoky Mountains National Park,106
38,Mammal,Sus scrofa,"Feral Hog, Wild Pig",Not in Danger,Yellowstone National Park,237
39,Mammal,Sus scrofa,"Feral Hog, Wild Pig",Not in Danger,Bryce National Park,127
40,Mammal,Canis latrans,Coyote,Species of Concern,Bryce National Park,85
41,Mammal,Canis latrans,Coyote,Species of Concern,Yellowstone National Park,206
42,Mammal,Canis latrans,Coyote,Species of Concern,Great Smoky Mountains National Park,68
43,Mammal,Canis latrans,Coyote,Species of Concern,Yosemite National Park,99
44,Mammal,Canis rufus,Red Wolf,Endangered,Bryce National Park,30
45,Mammal,Canis rufus,Red Wolf,Endangered,Yosemite National Park,34
46,Mammal,Canis rufus,Red Wolf,Endangered,Great Smoky Mountains National Park,13
47,Mammal,Canis rufus,Red Wolf,Endangered,Yellowstone National Park,60
48,Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Not in Danger,Great Smoky Mountains National Park,91
49,Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Not in Danger,Yosemite National Park,187
50,Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Not in Danger,Bryce National Park,124
51,Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Not in Danger,Yellowstone National Park,239
52,Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Not in Danger,Great Smoky Mountains National Park,71
53,Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Not in Danger,Yellowstone National Park,215
54,Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Not in Danger,Bryce National Park,123
55,Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Not in Danger,Yosemite National Park,149
56,Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",Not in Danger,Great Smoky Mountains National Park,66
57,Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",Not in Danger,Yosemite National Park,133
58,Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",Not in Danger,Bryce National Park,114
59,Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",Not in Danger,Yellowstone National Park,227
60,Mammal,Vulpes vulpes,Red Fox,Not in Danger,Yellowstone National Park,258
61,Mammal,Vulpes vulpes,Red Fox,Not in Danger,Bryce National Park,82
62,Mammal,Vulpes vulpes,Red Fox,Not in Danger,Great Smoky Mountains National Park,76
63,Mammal,Vulpes vulpes,Red Fox,Not in Danger,Yosemite National Park,134
64,Mammal,Felis concolor,Mountain Lion,Not in Danger,Great Smoky Mountains National Park,72
65,Mammal,Felis concolor,Mountain Lion,Not in Danger,Yellowstone National Park,284
66,Mammal,Felis concolor,Mountain Lion,Not in Danger,Yosemite National Park,146
67,Mammal,Felis concolor,Mountain Lion,Not in Danger,Bryce National Park,65
68,Mammal,Felis silvestris,"Wild Cat, Wildcat",Not in Danger,Bryce National Park,103
69,Mammal,Felis silvestris,"Wild Cat, Wildcat",Not in Danger,Yellowstone National Park,259
70,Mammal,Felis silvestris,"Wild Cat, Wildcat",Not in Danger,Yosemite National Park,150
71,Mammal,Felis silvestris,"Wild Cat, Wildcat",Not in Danger,Great Smoky Mountains National Park,61
72,Mammal,Lynx rufus,Bobcat,Not in Danger,Great Smoky Mountains National Park,30
73,Mammal,Lynx rufus,Bobcat,Not in Danger,Yosemite National Park,157
74,Mammal,Lynx rufus,Bobcat,Not in Danger,Bryce National Park,62
75,Mammal,Lynx rufus,Bobcat,Not in Danger,Yellowstone National Park,259
76,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Bryce National Park,92
77,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Great Smoky Mountains National Park,79
78,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Yellowstone National Park,243
79,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Great Smoky Mountains National Park,48
80,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Yosemite National Park,121
81,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Yosemite National Park,165
82,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Yellowstone National Park,240
83,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Bryce National Park,128
84,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Yellowstone National Park,270
85,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Great Smoky Mountains National Park,112
86,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Yosemite National Park,122
87,Mammal,Puma concolor,Panther (Mountain Lion),Not in Danger,Bryce National Park,91
88,Mammal,Mephitis mephitis,Striped Skunk,Not in Danger,Yellowstone National Park,257
89,Mammal,Mephitis mephitis,Striped Skunk,Not in Danger,Great Smoky Mountains National Park,63
90,Mammal,Mephitis mephitis,Striped Skunk,Not in Danger,Bryce National Park,113
91,Mammal,Mephitis mephitis,Striped Skunk,Not in Danger,Yosemite National Park,141
92,Mammal,Spilogale putorius,Eastern Spotted Skunk,Not in Danger,Yellowstone National Park,256
93,Mammal,Spilogale putorius,Eastern Spotted Skunk,Not in Danger,Great Smoky Mountains National Park,103
94,Mammal,Spilogale putorius,Eastern Spotted Skunk,Not in Danger,Great Smoky Mountains National Park,57
